Term,Definition,First use in Section,|Term|Definition|
Abstract class,"A class that is a base for extension, and must be specialized to be used directly",3.4,"|Abstract class|A class that is a base for extension, and must be specialized to be used directly|"
Adapter class,Contains only properties from a single external namespace,4.4,|Adapter class|Contains only properties from a single external namespace|
Artifact,,2.3,|Artifact||
Association class,Represents a specific relationship between objects,4.4,|Association class|Represents a specific relationship between objects|
Atomic class,"Contains no object properties, one or more attribute properties, and exactly one data property that is not an attribute property.  Does not have a special name.",4.4,"|Atomic class|Contains no object properties, one or more attribute properties, and exactly one data property that is not an attribute property.  Does not have a special name.|"
Attribute,,2.2,|Attribute||
Attribute declaration,,4.8,|Attribute declaration||
Attribute property,A data property in which `isAttribute` is true,4.4,|Attribute property|A data property in which `isAttribute` is true|
Augmentable class,A class that can be augmented with additional properties,4.4,|Augmentable class|A class that can be augmented with additional properties|
Augmentation class/type,Oontain the augmenting properties,4.15,|Augmentation class/type|Oontain the augmenting properties|
Augmentation element,Element based on an augmentation type that is substitutable for the augmentation point element in the augmented type.,4.15,|Augmentation element|Element based on an augmentation type that is substitutable for the augmentation point element in the augmented type.|
Augmentation point element,An abstract element declaration that provides a place for any augmtation properties.,4.15.2,|Augmentation point element|An abstract element declaration that provides a place for any augmtation properties.|
Cardinality,How many times a property may/must appear in an object,4.4,|Cardinality|How many times a property may/must appear in an object|
Class,Defines the content of a corresponding object (or resource) in a message.,3.1,|Class|Defines the content of a corresponding object (or resource) in a message.|
Code datatype,A restriction in which each value that is valid for the datatype corresponds to a code value in a code list.,4.12,|Code datatype|A restriction in which each value that is valid for the datatype corresponds to a code value in a code list.|
Code list,"A list of distinct conceptual entities, each represented by a code value that has a known meaning beyond its text representation.  These codes may be meaningful text or may be a string of alphanumeric identifiers that represent abbreviations for literals.",4.12,"|Code list|A list of distinct conceptual entities, each represented by a code value that has a known meaning beyond its text representation.  These codes may be meaningful text or may be a string of alphanumeric identifiers that represent abbreviations for literals.|"
Common Model Format (CMF),A NIEM representation of the matamodel.,3.1,|Common Model Format (CMF)|A NIEM representation of the matamodel.|
Complete model,A model including a definition for every referenced component.,4.1,|Complete model|A model including a definition for every referenced component.|
Complex content,A object or type with  child elements.,4.4,|Complex content|A object or type with  child elements.|
Complex type,,4.4,|Complex type||
Component,,1,|Component||
Conformance target,"A class of artifact, such as an interface, protocol, document, platform, process or service, that is the subject of conformance clauses and normative statements.",1,"|Conformance target|A class of artifact, such as an interface, protocol, document, platform, process or service, that is the subject of conformance clauses and normative statements.|"
Constraint,,,|Constraint||
Constraint rule,A requirement on an artifact with respect to its conformance to a conformance target.,6.1,|Constraint rule|A requirement on an artifact with respect to its conformance to a conformance target.|
Data definition,"A text definition of each component, describing what the component means.",7.1,"|Data definition|A text definition of each component, describing what the component means.|"
Data property,Defines a relationship between an object and a literal value.,3.4,|Data property|Defines a relationship between an object and a literal value.|
Datatype,Defines the allowed values of a corresponding atomic literal value in a message,3.4,|Datatype|Defines the allowed values of a corresponding atomic literal value in a message|
Deprecated,"A component that is provided, but the use of which is not recommended.",4.3,"|Deprecated|A component that is provided, but the use of which is not recommended.|"
Document element,,9,|Document element||
Documentation,A human-readable text documentation of a component.,4.2,|Documentation|A human-readable text documentation of a component.|
Documented component,A CMF object or XSD schema component that has an associated data definition.,8,|Documented component|A CMF object or XSD schema component that has an associated data definition.|
Element,,2.2,|Element||
Element declaration,,4.7,|Element declaration||
Enumeration,,4.12,|Enumeration||
Extension,,3.2,|Extension||
Extension namespace,"Expresses the additional vocabulary required for an information exchange, above and beyond the vocabulary available from the NIEM model",6.2.2,"|Extension namespace|Expresses the additional vocabulary required for an information exchange, above and beyond the vocabulary available from the NIEM model|"
Extension schema document,,3.6,|Extension schema document||
External adapter type,A set of data that embodies a single concept from an external standard.,9,|External adapter type|A set of data that embodies a single concept from an external standard.|
External components,A schema component defined by an external schema document.,9,|External components|A schema component defined by an external schema document.|
External schema documents,Non-NIEM-conformant schema documents.,9,|External schema documents|Non-NIEM-conformant schema documents.|
Facet,A data concept for a facet that restricts an aspect of a data type.,8.1,|Facet|A data concept for a facet that restricts an aspect of a data type.|
Imported namespace,,10.4,|Imported namespace||
Informative,"Material that appears as supporting text, description, and rationales for the normative material.",6,"|Informative|Material that appears as supporting text, description, and rationales for the normative material.|"
